"ASIN","Brand","Category","SalesRank"
"B07MLXK4TZ","Winning Moves Games","Toys & Games,Games & Accessories,Board Games","1111"
"B00I3C34D2","Wonder Forge","Toys & Games,Games & Accessories,Board Games","82"
"B001SN8GF4","USAOPOLY","Toys & Games,Games & Accessories,Board Games","1223"
"B06XY881H4","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1124"
"B07VFDSG9X","MOLLYBEE KIDS","Toys & Games,Games & Accessories,Board Games","983"
"B07N5ZS5QP","AMEROUS","Toys & Games,Games & Accessories,Board Games","1399"
"B00V42YPKO","Telestrations","Toys & Games,Games & Accessories,Board Games","1608"
"B07MPCMXGR","Unsolved Case Files","Toys & Games,Games & Accessories,Board Games","1448"
"B07G2VHPRW","USAOPOLY","Toys & Games,Games & Accessories,Board Games","1667"
"B00A2HD40E","Z-Man Games","Toys & Games,Games & Accessories,Board Games","1728"
"B01JF1VRL0","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1236"
"B085ZNYPR3","Hunt A Killer","Toys & Games,Games & Accessories,Board Games","1258"
"B00U26V9CU","Catan Studio","Toys & Games,Games & Accessories,Board Games","1720"
"B07Z45DRKQ","Golden Groundhog","Toys & Games,Games & Accessories,Board Games","1679"
"B00UB7P0XY","Gamewright","Toys & Games,Games & Accessories,Board Games","1578"
"B00000DMBF","Pressman","Toys & Games,Games & Accessories,Board Games","1585"
"B00000IWGQ","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1343"
"B01C5U4PTY","University Games","Toys & Games,Games & Accessories,Board Games","2052"
"B06XYLL66Y","Monopoly","Toys & Games,Games & Accessories,Board Games","1655"
"B06Y1N3PTX","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1804"
"B06XY48MK1","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1735"
"B08CD3QS55","CATAN","Toys & Games,Games & Accessories,Board Games","2210"
"B088H39PXX","CUKU","Toys & Games,Games & Accessories,Board Games","1716"
"B01ECIKH8A","Endless Games","Toys & Games,Games & Accessories,Board Games","68"
"B01N5O9NRY","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","8166"
"B00UB7OV7K","Gamewright","Toys & Games,Games & Accessories,Board Games","8314"
"B077215TKR","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","9000"
"B0001VVQ3I","Creative Conceptions","Toys & Games,Games & Accessories,Board Games","8209"
"B086HFNZ32","Monopoly","Toys & Games,Games & Accessories,Board Games","8805"
"B01DDUHO7A","Wonder Forge","Toys & Games,Games & Accessories,Board Games","7800"
"B08Q8SCFPY","FATIZONE","Toys & Games,Games & Accessories,Board Games","8487"
"B0072ZN4EA","Jax","Toys & Games,Games & Accessories,Board Games","8716"
"B00KV8Z78Q","Brybelly","Toys & Games,Games & Accessories,Board Games","6538"
"B01EIKRP0K","USAOPOLY","Toys & Games,Games & Accessories,Board Games","10883"
"B08KFV9BYW","Juegoal","Toys & Games,Games & Accessories,Board Games","9998"
"B00HFKRG2I","Beistle","Toys & Games,Games & Accessories,Board Games","8034"
"B08Q4K7X9P","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","9855"
"B084D2XQ9F","USAOPOLY","Toys & Games,Games & Accessories,Board Games","9591"
"B08636S37Z","Funko","Toys & Games,Games & Accessories,Board Games","9773"
"B00I8Z6GAM","Goliath","Toys & Games,Games & Accessories,Board Games","7239"
"B07Y98CFPB","Mattel Games","Toys & Games,Games & Accessories,Board Games","7421"
"B07XPSBCPD","Next Move Games","Toys & Games,Games & Accessories,Board Games","8799"
"B001ANRRY8","Bicycle","Toys & Games,Games & Accessories,Board Games","9292"
"B001I2BOUE","TOMY","Toys & Games,Games & Accessories,Board Games","9215"
"B081SNXGJZ","Dungeons & Dragons","Toys & Games,Games & Accessories,Board Games","10788"
"B08NXY2328","Magic The Gathering","Toys & Games,Games & Accessories,Board Games","12041"
"B07VXR4GVT","Life","Toys & Games,Games & Accessories,Board Games","10594"
"B0771YL7DZ","Monopoly","Toys & Games,Games & Accessories,Board Games","6809"
"B074K5W5N5","Blue Orange","Toys & Games,Games & Accessories,Board Games","7756"
"B07MTWXWDW","Spin Master","Toys & Games,Games & Accessories,Board Games","6470"
"B0853ZZHBX","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","7046"
"B08C1L81MT","Regal","Toys & Games,Games & Accessories,Board Games","8494"
"B075SKZCVR","Melee Mats","Toys & Games,Games & Accessories,Board Games","6614"
"B00HVTH2P4","Winning Moves Games","Toys & Games,Games & Accessories,Board Games","7023"
"B00UA7O1GW","Inspiration Play","Toys & Games,Games & Accessories,Board Games","8603"
"B00GYDLY8E","Asmodee","Toys & Games,Games & Accessories,Board Games","6156"
"B089QWRTVF","Hey Robot","Toys & Games,Games & Accessories,Board Games","10489"
"B08DG67ZPG","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","7234"
"B00NQQU0O6","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","8506"
"B00HVTH2MC","Winning Moves Games","Toys & Games,Games & Accessories,Board Games","6118"
"B000EN5ZLW","Smart Zone Games","Toys & Games,Games & Accessories,Board Games","8046"
"B004CTH7ME","WS Game Company","Toys & Games,Games & Accessories,Board Games","7412"
"B07QQHTD4Q","Ravensburger","Toys & Games,Games & Accessories,Board Games","3968"
"B071DTYZFZ","YoYa Toys","Toys & Games,Games & Accessories,Board Games","6392"
"B074P7T3LS","Briarpatch","Toys & Games,Games & Accessories,Board Games","8019"
"B07WDCYXR4","Spin Master","Toys & Games,Games & Accessories,Board Games","10868"
"B07Y856LCZ","Juegoal","Toys & Games,Games & Accessories,Board Games","9686"
"B01MR7O8ER","Spin Master","Toys & Games,Games & Accessories,Board Games","9242"
"B00I0D3E7U","Educational Insights","Toys & Games,Games & Accessories,Board Games","7214"
"B01MYV9MM9","VAGYD","Toys & Games,Games & Accessories,Board Games","9819"
"B07YQ641NQ","Stonemaier Games","Toys & Games,Games & Accessories,Board Games","400"
"0975277324","Days of Wonder","Toys & Games,Games & Accessories,Board Games","1021"
"B01JYVHMVA","Hasbro","Toys & Games,Games & Accessories,Board Games","860"
"B07H5HFTWC","Monopoly","Toys & Games,Games & Accessories,Board Games","834"
"1933054395","MindWare","Toys & Games,Games & Accessories,Board Games","1001"
"B00I4J63WI","Pressman","Toys & Games,Games & Accessories,Board Games","711"
"B008FD8ETS","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","1060"
"B00486ZVC4","Educational Insights","Toys & Games,Games & Accessories,Board Games","881"
"B00D8STBHY","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","66"
"B0778TY7XP","Hygge Games","Toys & Games,Games & Accessories,Board Games","256"
"B08GD242TJ","Hasbro Gaming","Toys & Games,Games & Accessories,Board Games","153"
"B00000DMF5","Hasbro","Toys & Games,Games & Accessories,Board Games","161"
"B01MU9K3XU","Monopoly","Toys & Games,Games & Accessories,Board Games","221"
