"ASIN","Brand","Category","SalesRank"
"B084GF35QT","Fantasy Flight Games","Toys & Games,Games & Accessories,Card Games,Dedicated Deck Card Games","23336"
"B08N9N824H","MJM","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","969319"
"B07TMZPHQD","YU-GI-OH!","","161987"
"B00A2G3NJM","Resident Evil","","426552"
"B07GY3X5VW","MTG Decks & More","Toys & Games,Games & Accessories,Card Games,Collectible Card Games","997367"
"B008Y4AQ9E","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","766209"
"B0028WIVTK","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","640130"
"B07VJ33MV1","Bushiroad","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","1177648"
"B0077E3XU6","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","981433"
"B0062DQV66","Yu-Gi-Oh%21","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","1328476"
"B082QGLM76","Magic The Gathering","","662929"
"B000U25O2W","Konami","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","284187"
"B07PQD386C","ƒm[ƒuƒ‰ƒ“ƒhi","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","0"
"B0062DYTYW","Pokemon","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","2050106"
"B00I1WKDA6","Bushiroad","","1966771"
"B007L03Z18","Cardass","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Singles","2186390"
"B00DI0WSJU","Takara Tomy","Toys & Games,Games & Accessories,Card Games","2138634"
"B005ILKAQU","Copag","Sports & Outdoors,Sports & Fitness,Leisure Sports & Game Room,Casino Equipment,Poker Equipment,Poker Sets","1130535"
"B08TMXQQFP","qihan","Toys & Games,Games & Accessories,Card Games,Standard Playing Card Decks","0"
"B005GDFLEQ","Wizards of the Coast","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Decks & Sets","615372"
"B08WB9FZ5D","Pokemon","","12273"
"B08ZKRLFC5","ノーブランド品","Toys & Games,Games & Accessories,Card Games,Collectible Card Games,Booster Packs","54205"
"B07S8671LX","SQUARENIX","","248285"
"B0012CQFXQ","Rio Grande Games","Toys & Games,Games & Accessories,Card Games","1567884"
"1616614609","Fantasy Flight Games","Toys & Games,Games & Accessories,Card Games","0"
