,ASIN,Brand,Category,SalesRank,US_BrandURL,JP_BrandURL,AliBrandURL,GoglBrandURL
86,B009PCI2JU,GE,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",3,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AGE,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AGE,https://www.aliexpress.com/af/GE.html,https://www.google.com/search?q=GE
104,B07GJBBGHG,COSORI,"Home & Kitchen,Kitchen & Dining,Small Appliances,Fryers,Air Fryers",11,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ACOSORI,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ACOSORI,https://www.aliexpress.com/af/COSORI.html,https://www.google.com/search?q=COSORI
88,B00VBP8QPO,EveryDrop Whirlpool,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",11,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AEveryDrop+Whirlpool,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AEveryDrop+Whirlpool,https://www.aliexpress.com/af/EveryDrop+Whirlpool.html,https://www.google.com/search?q=EveryDrop+Whirlpool
99,B002JAKRAM,FRIGIDAIRE,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",24,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AFRIGIDAIRE,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AFRIGIDAIRE,https://www.aliexpress.com/af/FRIGIDAIRE.html,https://www.google.com/search?q=FRIGIDAIRE
95,B07S2RBCT5,AstroAI,"Home & Kitchen,Kitchen & Dining,Small Appliances,Compact Refrigerators",25,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAstroAI,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAstroAI,https://www.aliexpress.com/af/AstroAI.html,https://www.google.com/search?q=AstroAI
46,B08NRPKPNC,KoolerThings,"Appliances,Refrigerators, Freezers & Ice Makers,Ice Makers",25,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AKoolerThings,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AKoolerThings,https://www.aliexpress.com/af/KoolerThings.html,https://www.google.com/search?q=KoolerThings
93,B003N1ZSYG,SAMSUNG,"Appliances,Parts & Accessories,Refrigerator Parts & Accessories,Water Filters",34,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ASAMSUNG,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ASAMSUNG,https://www.aliexpress.com/af/SAMSUNG.html,https://www.google.com/search?q=SAMSUNG
167,B079C4B83B,Cuisinart,"Home & Kitchen,Kitchen & Dining,Small Appliances,Ovens & Toasters,Toasters",82,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ACuisinart,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ACuisinart,https://www.aliexpress.com/af/Cuisinart.html,https://www.google.com/search?q=Cuisinart
133,B07HG9Y3VL,BLACK+DECKER,"Home & Kitchen,Kitchen & Dining,Small Appliances,Microwave Ovens,Countertop Microwave Ovens",226,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABLACK+DECKER,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABLACK+DECKER,https://www.aliexpress.com/af/BLACK+DECKER.html,https://www.google.com/search?q=BLACK+DECKER
444,B0922KRVB2,Autlaycil,"Appliances,Refrigerators, Freezers & Ice Makers,Ice Makers",582,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAutlaycil,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAutlaycil,https://www.aliexpress.com/af/Autlaycil.html,https://www.google.com/search?q=Autlaycil
41516,B08TRH1LH4,Igloo,"Appliances,Refrigerators, Freezers & Ice Makers,Ice Makers",683,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AIgloo,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AIgloo,https://www.aliexpress.com/af/Igloo.html,https://www.google.com/search?q=Igloo
449,B08DY7ZY1G,Leisurelife,"Appliances,Refrigerators, Freezers & Ice Makers,Ice Makers",1011,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ALeisurelife,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ALeisurelife,https://www.aliexpress.com/af/Leisurelife.html,https://www.google.com/search?q=Leisurelife
39,B0777XZBMZ,Instant Pot,"Home & Kitchen,Kitchen & Dining,Small Appliances,Slow Cookers",1287,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AInstant+Pot,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AInstant+Pot,https://www.aliexpress.com/af/Instant+Pot.html,https://www.google.com/search?q=Instant+Pot
128,B071JB7YT4,Toshiba,"Home & Kitchen,Kitchen & Dining,Small Appliances,Ovens & Toasters,Convection Ovens",1507,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AToshiba,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AToshiba,https://www.aliexpress.com/af/Toshiba.html,https://www.google.com/search?q=Toshiba
123,B089NKT312,NuWave,"Home & Kitchen,Kitchen & Dining,Small Appliances,Fryers,Deep Fryers",2002,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ANuWave,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ANuWave,https://www.aliexpress.com/af/NuWave.html,https://www.google.com/search?q=NuWave
172,B01IB17RLE,Farberware,"Home & Kitchen,Kitchen & Dining,Small Appliances,Microwave Ovens,Countertop Microwave Ovens",2799,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AFarberware,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AFarberware,https://www.aliexpress.com/af/Farberware.html,https://www.google.com/search?q=Farberware
175,B0833NB31H,AMZCHEF,"Home & Kitchen,Kitchen & Dining,Small Appliances,Juicers,Masticating Juicers",3158,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3AAMZCHEF,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3AAMZCHEF,https://www.aliexpress.com/af/AMZCHEF.html,https://www.google.com/search?q=AMZCHEF
29,B000MDHH06,Breville,"Home & Kitchen,Kitchen & Dining,Small Appliances,Juicers,Centrifugal Juicers",3202,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ABreville,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ABreville,https://www.aliexpress.com/af/Breville.html,https://www.google.com/search?q=Breville
129,B08GBZFZDM,Rozmoz,"Home & Kitchen,Kitchen & Dining,Small Appliances,Fryers,Air Fryers",3600,https://www.amazon.com/s?rh=n%3A2619525011%2Cp_89%3ARozmoz,https://www.amazon.co.jp/s?rh=n%3A124048011%2Cp_89%3ARozmoz,https://www.aliexpress.com/af/Rozmoz.html,https://www.google.com/search?q=Rozmoz
