,ASIN,Brand,Category,SalesRank,BrandURL
344,B00F97FHAW,CeraVe,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",9,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACeraVe
258,B018T7DHVY,Foreo,"Beauty & Personal Care,Tools & Accessories,Skin Care Tools",1292,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AForeo
171,B07CN9L4SK,GOO GOO,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",1867,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AGOO+GOO
269,B088CP227V,Panasonic,"Beauty & Personal Care,Shave & Hair Removal,Men's,Beard & Mustache Care,Beard & Mustache Trimmers",2159,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APanasonic
249,B086M3XRK1,Pure Daily Care,"Beauty & Personal Care,Tools & Accessories,Salon & Spa Equipment,Galvanic & High Frequency Machines,High Frequency Machines",3438,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3APure+Daily+Care
64,B083XQHRVL,QTHAIR,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",4646,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AQTHAIR
162,B08Y5N5V8N,BLY,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",5171,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABLY
253,B07BG64154,Waterpik,"Beauty & Personal Care,Oral Care,Dental Floss & Picks,Power Dental Flossers",5301,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AWaterpik
85,B07TJDN3FB,Amella,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",6147,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAmella
61,B083R68SML,Jessicahair,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",6201,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AJessicahair
302,B089VM6KMS,Sassina,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",6622,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASassina
250,B077Y8DLXL,Oral-B,"Beauty & Personal Care,Oral Care,Toothbrushes & Accessories,Powered Toothbrushes & Accessories,Powered Toothbrushes,Rotating",7404,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AOral-B
284,B08MTCXRCM,sdamey,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",7914,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3Asdamey
251,B0779MHJSL,Dragonhawk,"Beauty & Personal Care,Personal Care,Piercing & Tattoo Supplies,Tattoo Supplies,Tattoo Machines",7989,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ADragonhawk
194,B08DFLN6DR,UNICE,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",8051,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AUNICE
63,B093H5BB7T,BEAUDIVA,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",8070,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABEAUDIVA
191,B086MQGPC7,Full Shine,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",8390,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AFull+Shine
267,B07KC2P76P,Releek,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",8586,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AReleek
242,B08LDG4TZ7,Crissel,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",9405,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ACrissel
247,B081Z2WB6Q,Conair,"Beauty & Personal Care,Hair Care,Styling Tools & Appliances,Irons,Straighteners",9444,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AConair
166,B08K8SNS82,IVCoco,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",10418,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AIVCoco
270,B07888GRVD,SkinMedica,"Beauty & Personal Care,Skin Care,Face,Creams & Moisturizers,Face Moisturizers",10667,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASkinMedica
126,B08W3Y8MLB,Beckoning,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",10706,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABeckoning
180,B08SQ6QVYK,Smavida,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",10737,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ASmavida
222,B08LD547C4,Wonder Girl,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",10986,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AWonder+Girl
72,B08TQXY498,Atilck,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",12317,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAtilck
307,B092S1NTHS,ORIGINAL QUEEN,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",12732,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AORIGINAL+QUEEN
120,B08MJHRK5G,Brollitest,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Wigs",13176,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3ABrollitest
224,B07ZNQN717,Aidaiya,"Beauty & Personal Care,Hair Care,Extensions, Wigs & Accessories,Hair Extensions",13429,https://www.amazon.com/s?rh=n%3A3760911%2Cp_89%3AAidaiya
