,ASIN,Brand,Category,SalesRank,BrandURL
0,B01N5SVHUU,Petite Boutique,"Handmade Products,Baby",13,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APetite+Boutique
5,B07H5T2QH6,JunkJewelry,"Handmade Products,Handmade Wedding,Wedding Décor,Dining & Tableware,Bakeware,Cake Toppers",37,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AJunkJewelry
1,B07C5CV85P,MignonandMignon,"Handmade Products,Jewelry,Bracelets,Cuff",43,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AMignonandMignon
8,B07R114HCF,Cooo,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Jars",66,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACooo
7,B07PLM88F7,WOOD LAND,"Handmade Products,Toys & Games,Learning & Education",78,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWOOD+LAND
14,B086WMGLV9,Enjoy The Wood,"Handmade Products,Toys & Games,Baby & Toddler Toys",126,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AEnjoy+The+Wood
22,B07D95HG6F,Sigmo Creations,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Earrings,Drop & Dangle Earrings",130,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASigmo+Creations
10,B08SHX64Q2,Brixalotl,"Handmade Products,Handmade Wedding,Jewelry & Jewelry Accessories,Charms",136,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ABrixalotl
789,B07766M5MT,Palmetto Wood Shop,"Handmade Products,Sports & Outdoors,Hunting & Shooting,Knives & Accessories,Knives",199,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3APalmetto+Wood+Shop
13,B07V39BQTL,VyoletShop,"Handmade Products,Sports & Outdoors,Car & Vehicle Accessories,Decals",211,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AVyoletShop
795,B092KH4147,Cool Mom's Closet,"Handmade Products,Health & Personal Care,Personal Care,Face Masks",272,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ACool+Mom's+Closet
46,B075S21C1S,yinahawaii,"Handmade Products,Jewelry,Earrings,Drop & Dangle",316,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3Ayinahawaii
23,B087ZPKH13,Espacio Handmade,"Handmade Products,Clothing, Shoes & Accessories,Luggage & Travel Gear,Wallets & Bag Accessories",328,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AEspacio+Handmade
21,B075R21FDW,Skyhawk Sticker Depot,"Handmade Products,Home & Kitchen,Home Décor,Decorative Accessories,Stickers",336,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASkyhawk+Sticker+Depot
53,B083QNQGJZ,White Harmony,"Handmade Products,Home & Kitchen,Home Décor,Signs & Plaques",422,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3AWhite+Harmony
801,B08XZQT1LT,SilverBuds,"Handmade Products,Jewelry,Body Jewelry,Piercing Jewelry",430,https://www.amazon.com/s?rh=n%3A11260432011%2Cp_89%3ASilverBuds
