,ASIN,Brand,Category,SalesRank,BrandURL
1,B07K8WHH5J,Amazon Basics,"Office Products,Office & School Supplies,Paper,Copy & Printing Paper,Copy & Multipurpose Paper",1,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AAmazon+Basics
0,B000J07BRQ,Scotch,"Office Products,Office & School Supplies,Envelopes, Mailers & Shipping Supplies,Packing Materials,Packing Tape",3,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AScotch
16,B07VNSXY31,EZlifego,"Office Products,Office & School Supplies,Tape, Adhesives & Fasteners,Tape,Transparent Tape",6,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AEZlifego
2,B01BYKUI9C,HP,"Office Products,Office & School Supplies,Printer Ink & Toner,Inkjet Printer Ink",7,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AHP
4,B072FVQNWM,Hammermill,"Office Products,Office & School Supplies,Paper,Copy & Printing Paper,Copy & Multipurpose Paper",9,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AHammermill
21,B0772XSNXY,iBayam,"Office Products,Office & School Supplies,Writing & Correction Supplies,Pens & Refills,Porous-Point Pens",10,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AiBayam
12,B083LGC771,Duck,"Office Products,Office & School Supplies,Envelopes, Mailers & Shipping Supplies,Packing Materials,Bubble Wrap",12,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3ADuck
6,B08SLZ712T,Fpxnb,"Office Products,Office & School Supplies,Education & Crafts,Special Education Supplies",14,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AFpxnb
17,B00I8OBAOU,EXPO,"Office Products,Office & School Supplies,Writing & Correction Supplies,Markers & Highlighters,Dry Erase & Wet Erase Markers",28,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AEXPO
13,B0722L14L3,Pendaflex,"Office Products,Office & School Supplies,Filing Products,Folders,File Folders,Manila",49,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3APendaflex
130,B0033JE0O2,Lorell,"Office Products,Office Furniture & Lighting,Cabinets, Racks & Shelves,File Cabinets,Vertical File Cabinets",491,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3ALorell
135,B07589YZ63,x,"Office Products,Office & School Supplies,Office Storage Supplies,Storage File Boxes",515,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3Ax
118,B01E5WS3Q6,Epson,"Office Products,Office & School Supplies,Printer Ink & Toner,Inkjet Printer Ink",565,https://www.amazon.com/s?rh=n%3A1064954%2Cp_89%3AEpson
